table,constraint,column,parent,prt_col
student_fbeenrollmentexclusion,student_fbeenrollmen_enrollment_id_28537ff8_fk_student_c,enrollment_id,student_courseenrollment,id
student_languageproficiency,student_languageprof_user_profile_id_768cd3eb_fk_auth_user,user_profile_id,auth_userprofile,id
student_linkedinaddtoprofileconfiguration,student_linkedinaddt_changed_by_id_dc1c453f_fk_auth_user,changed_by_id,auth_user,id
student_loginfailures,student_loginfailures_user_id_50d85202_fk_auth_user_id,user_id,auth_user,id
student_manualenrollmentaudit,student_manualenroll_enrolled_by_id_1217a0dc_fk_auth_user,enrolled_by_id,auth_user,id
student_manualenrollmentaudit,student_manualenroll_enrollment_id_decc94fe_fk_student_c,enrollment_id,student_courseenrollment,id
student_pendingemailchange,student_pendingemailchange_user_id_8f2778c5_fk_auth_user_id,user_id,auth_user,id
student_pendingnamechange,student_pendingnamechange_user_id_e2cd8b70_fk_auth_user_id,user_id,auth_user,id
student_pendingsecondaryemailchange,student_pendingsecon_user_id_deacc54f_fk_auth_user,user_id,auth_user,id
student_registrationcookieconfiguration,student_registration_changed_by_id_52ac88b0_fk_auth_user,changed_by_id,auth_user,id
student_sociallink,student_sociallink_user_profile_id_19f54475_fk_auth_user,user_profile_id,auth_userprofile,id
student_userattribute,student_userattribute_user_id_19c01f5e_fk_auth_user_id,user_id,auth_user,id
student_usercelebration,student_usercelebration_user_id_8682222f_fk_auth_user_id,user_id,auth_user,id
student_userpasswordtogglehistory,student_userpassword_created_by_id_f7092add_fk_auth_user,created_by_id,auth_user,id
student_userpasswordtogglehistory,student_userpassword_user_id_1e2a09c9_fk_auth_user,user_id,auth_user,id
student_usersignupsource,student_usersignupsource_user_id_4979dd6e_fk_auth_user_id,user_id,auth_user,id
student_userstanding,student_userstanding_changed_by_id_469252b4_fk_auth_user_id,changed_by_id,auth_user,id
student_userstanding,student_userstanding_user_id_00b147e5_fk_auth_user_id,user_id,auth_user,id
survey_surveyanswer,survey_surveyanswer_form_id_7f0df59f_fk_survey_surveyform_id,form_id,survey_surveyform,id
survey_surveyanswer,survey_surveyanswer_user_id_4c028d25_fk_auth_user_id,user_id,auth_user,id
system_wide_roles_systemwideroleassignment,system_wide_roles_sy_role_id_b553068b_fk_system_wi,role_id,system_wide_roles_systemwiderole,id
system_wide_roles_systemwideroleassignment,system_wide_roles_sy_user_id_8ec7ad0d_fk_auth_user,user_id,auth_user,id
